UTC_Time,price,daily_sentiment_avg,log_return,ret_lag1,ret_lag2,ret_lag3,sent_lag1,sent_lag2,sent_lag3,sent_ma7,sent_ma14,sent_ma30
2023-01-01,0.3390659137727583,-0.45005,,,,,,,,,,
2023-01-02,0.3485704226652262,-0.3760666666666667,0.02764575904320754,,,,-0.45005,,,,,
2023-01-04,0.3481488850831711,0.0,-0.0012100644515047332,0.02764575904320754,,,-0.3760666666666667,-0.45005,,,,
2023-01-05,0.3384179800553606,0.1779,-0.028348460107897155,-0.0012100644515047332,0.02764575904320754,,0.0,-0.3760666666666667,-0.45005,,,
2023-01-09,0.3496853723382183,0.5037,0.032752055149626536,-0.028348460107897155,-0.0012100644515047332,0.02764575904320754,0.1779,0.0,-0.3760666666666667,,,
2023-01-10,0.3516250959148819,0.1779,0.00553172556453041,0.032752055149626536,-0.028348460107897155,-0.0012100644515047332,0.5037,0.1779,0.0,,,
2023-01-11,0.3751680418453305,-0.2841,0.06480849759990226,0.00553172556453041,0.032752055149626536,-0.028348460107897155,0.1779,0.5037,0.1779,-0.03581666666666666,,
2023-01-12,0.3757077587246529,0.76095,0.001437566563900039,0.06480849759990226,0.00553172556453041,0.032752055149626536,-0.2841,0.1779,0.5037,0.13718333333333335,,
2023-01-13,0.3866854348676511,0.04959999999999998,0.02879992895532446,0.001437566563900039,0.06480849759990226,0.00553172556453041,0.76095,-0.2841,0.1779,0.19799285714285716,,
2023-01-17,0.3883460896972918,0.05135,0.004285393092906098,0.02879992895532446,0.001437566563900039,0.06480849759990226,0.04959999999999998,0.76095,-0.2841,0.20532857142857144,,
2023-01-18,0.3797679869684619,0.011666666666666678,-0.022336420154988046,0.004285393092906098,0.02879992895532446,0.001437566563900039,0.05135,0.04959999999999998,0.76095,0.18158095238095237,,
2023-01-20,0.4135995980254182,0.3276,0.08533784565853664,-0.022336420154988046,0.004285393092906098,0.02879992895532446,0.011666666666666678,0.05135,0.04959999999999998,0.15642380952380952,,
2023-01-21,0.4042373402682552,0.4762,-0.022896169925370136,0.08533784565853664,-0.022336420154988046,0.004285393092906098,0.3276,0.011666666666666678,0.05135,0.19903809523809526,,
2023-01-22,0.4023071714072539,-0.5574,-0.004786276560865277,-0.022896169925370136,0.08533784565853664,-0.022336420154988046,0.4762,0.3276,0.011666666666666678,0.1599952380952381,0.062089285714285715,
2023-01-23,0.4266693124379404,0.28595,0.058793364437360385,-0.004786276560865277,-0.022896169925370136,0.08533784565853664,-0.5574,0.4762,0.3276,0.09213809523809524,0.11466071428571427,
2023-01-24,0.4087729415360422,0.6124,-0.042849422534235626,0.058793364437360385,-0.004786276560865277,-0.022896169925370136,0.28595,-0.5574,0.4762,0.17253809523809524,0.18526547619047617,
2023-01-25,0.4186592896798123,0.0,0.023897591294751774,-0.042849422534235626,0.058793364437360385,-0.004786276560865277,0.6124,0.28595,-0.5574,0.165202380952381,0.18526547619047617,
2023-01-26,0.4111158852427795,0.0,-0.01818230403189003,0.023897591294751774,-0.042849422534235626,0.058793364437360385,0.0,0.6124,0.28595,0.1635357142857143,0.1725583333333333,
2023-01-28,0.4096758453041082,-0.2263,-0.003508908198294969,-0.01818230403189003,0.023897591294751774,-0.042849422534235626,0.0,0.0,0.6124,0.08440714285714288,0.1204154761904762,
2023-01-30,0.3963337020923979,0.0,-0.03310968733426989,-0.003508908198294969,-0.01818230403189003,0.023897591294751774,-0.2263,0.0,0.0,0.01637857142857144,0.10770833333333334,
2023-02-01,0.4148527743836202,0.27003333333333335,0.04566715831808987,-0.03310968733426989,-0.003508908198294969,-0.01818230403189003,0.0,-0.2263,0.0,0.13458333333333333,0.14728928571428573,
2023-02-02,0.4112098873232879,0.3086333333333333,-0.008819937868116634,0.04566715831808987,-0.03310968733426989,-0.003508908198294969,0.27003333333333335,0.0,-0.2263,0.13782380952380954,0.11498095238095239,
2023-02-04,0.4121338298176891,-0.028450000000000003,0.002244367359597099,-0.008819937868116634,0.04566715831808987,-0.03310968733426989,0.3086333333333333,0.27003333333333335,0.0,0.046273809523809536,0.10940595238095238,
2023-02-06,0.3937656294467119,0.41695000000000004,-0.04559224307339871,0.002244367359597099,-0.008819937868116634,0.04566715831808987,-0.028450000000000003,0.3086333333333333,0.27003333333333335,0.10583809523809526,0.1355202380952381,
2023-02-08,0.3986931996846012,-0.31155,0.012436314835651885,-0.04559224307339871,0.002244367359597099,-0.008819937868116634,0.41695000000000004,-0.028450000000000003,0.3086333333333333,0.061330952380952396,0.11243333333333336,
2023-02-09,0.3832139446465286,-0.4019,-0.03959876258986861,0.012436314835651885,-0.04559224307339871,0.002244367359597099,-0.31155,0.41695000000000004,-0.028450000000000003,0.03624523809523811,0.06032619047619048,
2023-02-13,0.3720546283535058,0.8797,-0.02955274152643561,-0.03959876258986861,0.012436314835651885,-0.04559224307339871,-0.4019,-0.31155,0.41695000000000004,0.16191666666666668,0.08914761904761906,
2023-02-14,0.3832279512992212,0.7875,0.02958929133606447,-0.02955274152643561,-0.03959876258986861,0.012436314835651885,0.8797,-0.4019,-0.31155,0.2358404761904762,0.18521190476190477,
2023-02-15,0.401361856233086,0.03423333333333333,0.046233419783105356,0.02958929133606447,-0.02955274152643561,-0.03959876258986861,0.7875,0.8797,-0.4019,0.19664047619047623,0.16723214285714288,
2023-02-16,0.3869228608316964,-0.3291,-0.03663805787807717,0.046233419783105356,0.02958929133606447,-0.02955274152643561,0.03423333333333333,0.7875,0.8797,0.15369047619047624,0.09998214285714287,0.10557833333333334
2023-02-19,0.3856060724873099,-0.26335,-0.00340903638129586,-0.03663805787807717,0.046233419783105356,0.02958929133606447,-0.3291,0.03423333333333333,0.7875,0.056504761904761926,0.08117142857142857,0.11180166666666667
2023-02-20,0.3976747252183047,0.05135,0.030818087049554133,-0.00340903638129586,-0.03663805787807717,0.046233419783105356,-0.26335,-0.3291,0.03423333333333333,0.10834761904761907,0.08483928571428571,0.1260488888888889
2023-02-22,0.3953586519644791,0.3062,-0.005841065219827635,0.030818087049554133,-0.00340903638129586,-0.03663805787807717,0.05135,-0.26335,-0.3291,0.20950476190476192,0.122875,0.13625555555555557
2023-02-24,0.3790953257370455,0.0,-0.04200564004194496,-0.005841065219827635,0.030818087049554133,-0.00340903638129586,0.3062,0.05135,-0.26335,0.08383333333333334,0.122875,0.13032555555555556
2023-02-25,0.378689319605292,0.0,-0.0010715608269407095,-0.04200564004194496,-0.005841065219827635,0.030818087049554133,0.0,0.3062,0.05135,-0.02866666666666665,0.10358690476190477,0.11353555555555556
2023-02-26,0.3780094713017035,0.5307,-0.001796880065572437,-0.0010715608269407095,-0.04200564004194496,-0.005841065219827635,0.0,0.0,0.3062,0.04225714285714287,0.11944880952380953,0.12529555555555555
2023-02-27,0.3793366092044523,-0.6486,0.0035047101855919527,-0.001796880065572437,-0.0010715608269407095,-0.04200564004194496,0.5307,0.0,0.0,-0.0033857142857142775,0.07515238095238096,0.11314555555555555
2023-02-28,0.3784078089404583,0.5269666666666667,-0.002451488145372327,0.0035047101855919527,-0.001796880065572437,-0.0010715608269407095,-0.6486,0.5307,0.0,0.10951666666666668,0.08301071428571428,0.10534611111111113
